/usr/local/rvm/gems/ruby-2.3.0/gems/unicorn-5.1.0/lib/unicorn/http_server.rb:713:in `read': Is a directory - /var/www/mattchupp/pids/unicorn.pid (Errno::EISDIR)
	from /usr/local/rvm/gems/ruby-2.3.0/gems/unicorn-5.1.0/lib/unicorn/http_server.rb:713:in `valid_pid?'
	from /usr/local/rvm/gems/ruby-2.3.0/gems/unicorn-5.1.0/lib/unicorn/http_server.rb:188:in `pid='
	from /usr/local/rvm/gems/ruby-2.3.0/gems/unicorn-5.1.0/lib/unicorn/http_server.rb:127:in `start'
	from /usr/local/rvm/gems/ruby-2.3.0/gems/unicorn-5.1.0/bin/unicorn:126:in `<top (required)>'
	from /usr/local/bin/unicorn:23:in `load'
	from /usr/local/bin/unicorn:23:in `<main>'
I, [2016-05-20T15:52:09.846971 #32620]  INFO -- : listening on addr=/tmp/unicorn.mattchupp.sock fd=8
I, [2016-05-20T15:52:09.851631 #32620]  INFO -- : worker=0 spawning...
I, [2016-05-20T15:52:09.852654 #32620]  INFO -- : worker=1 spawning...
I, [2016-05-20T15:52:09.856262 #32620]  INFO -- : master process ready
I, [2016-05-20T15:52:09.863812 #32623]  INFO -- : worker=0 spawned pid=32623
I, [2016-05-20T15:52:09.864132 #32623]  INFO -- : Refreshing Gem list
I, [2016-05-20T15:52:09.878041 #32626]  INFO -- : worker=1 spawned pid=32626
I, [2016-05-20T15:52:09.878321 #32626]  INFO -- : Refreshing Gem list
DEPRECATION WARNING:
Sass 3.5 will no longer support Ruby 1.9.3.
Please upgrade to Ruby 2.0.0 or greater as soon as possible.

DEPRECATION WARNING:
Sass 3.5 will no longer support Ruby 1.9.3.
Please upgrade to Ruby 2.0.0 or greater as soon as possible.

I, [2016-05-20T15:52:11.349496 #32626]  INFO -- : worker=1 ready
I, [2016-05-20T15:52:11.350552 #32623]  INFO -- : worker=0 ready
50.103.98.168 - - [20/May/2016:15:53:25 -0400] "GET / HTTP/1.0" 200 1506 0.0798
50.103.98.168 - - [20/May/2016:15:53:26 -0400] "GET /assets/application.css HTTP/1.0" 200 2285 0.3826
50.103.98.168 - - [20/May/2016:15:53:27 -0400] "GET /favicon.ico HTTP/1.0" 200 894 0.0045
50.103.98.168 - - [20/May/2016:15:53:32 -0400] "GET /projects HTTP/1.0" 200 1228 0.0361
50.103.98.168 - - [20/May/2016:15:53:33 -0400] "GET /assets/application.css HTTP/1.0" 304 - 0.3259
50.103.98.168 - - [20/May/2016:15:53:36 -0400] "GET /resume.pdf HTTP/1.0" 200 97650 0.0489
50.103.98.168 - - [20/May/2016:15:55:25 -0400] "GET / HTTP/1.0" 200 1506 0.0066
50.103.98.168 - - [20/May/2016:15:55:25 -0400] "GET /assets/application.css HTTP/1.0" 200 2285 0.0053
50.103.98.168 - - [20/May/2016:15:55:30 -0400] "GET /projects HTTP/1.0" 200 1228 0.0050
50.103.98.168 - - [20/May/2016:15:55:30 -0400] "GET /assets/application.css HTTP/1.0" 304 - 0.0031
50.103.98.168 - - [20/May/2016:15:55:59 -0400] "GET / HTTP/1.0" 200 1506 0.0049
